harness,variant,n_workers,range,reps,per_call_min,per_call_med,per_call_max,wake_to_first_worker,wake_to_all_finished,finish_to_observed
k_thread,k_sem,1,32,24,5524,5612,5713,3,3,2
k_thread,k_sem,1,256,24,7750,7846,7929,2,5,2
k_thread,k_sem,1,4096,24,48711,49082,49559,3,46,2
k_thread,k_sem,2,32,24,6532,8330,8647,3,4,3
k_thread,k_sem,2,256,24,7236,8666,8936,2,5,2
k_thread,k_sem,2,4096,24,26704,28364,28813,3,25,2
k_thread,k_sem,4,32,24,16781,20199,20892,4,14,3
k_thread,k_sem,4,256,24,16923,19480,20480,4,14,3
k_thread,k_sem,4,4096,24,25056,27547,29805,5,23,3
pthreads_raw,k_sem,1,32,24,6643,6744,6877,3,3,3
pthreads_raw,k_sem,1,256,24,8904,9040,9162,3,6,2
pthreads_raw,k_sem,1,4096,24,49369,49790,50111,3,46,3
pthreads_raw,k_sem,2,32,24,11250,11425,11728,4,8,2
pthreads_raw,k_sem,2,256,24,11916,12619,12842,3,9,3
pthreads_raw,k_sem,2,4096,24,31443,31862,32208,3,28,3
pthreads_raw,k_sem,4,32,24,19693,20066,20459,3,14,5
pthreads_raw,k_sem,4,256,24,19704,20146,21054,3,15,5
pthreads_raw,k_sem,4,4096,24,27564,27981,28407,3,24,3
k_sem_pingpong,local,0,0,24,194,194,267,0,0,0
pthreadpool,default,1,32,24,613,613,616,0,0,0
pthreadpool,default,1,256,24,4645,4645,4648,0,0,0
pthreadpool,default,1,4096,24,73979,74167,74627,0,0,0
pthreadpool,default,2,32,24,13011357,13011433,13011527,0,0,0
pthreadpool,default,2,256,24,13018671,13018774,13018856,0,0,0
pthreadpool,default,2,4096,24,13146839,13147199,13147801,0,0,0
pthreadpool,default,4,32,24,27018818,27018896,27019047,0,0,0
pthreadpool,default,4,256,24,27026184,27026242,27026343,0,0,0
pthreadpool,default,4,4096,24,27156697,27157142,27157763,0,0,0
k_sem_pingpong,local,0,0,24,194,194,267,0,0,0
pthreadpool,spin,1,32,24,613,616,619,0,0,0
pthreadpool,spin,1,256,24,4645,4645,4648,0,0,0
pthreadpool,spin,1,4096,24,73996,74117,74466,0,0,0
pthreadpool,spin,2,32,24,39999979,39999989,40000013,0,0,0
pthreadpool,spin,2,256,24,39999972,39999992,40000021,0,0,0
pthreadpool,spin,2,4096,24,39999894,39999978,40000087,0,0,0
pthreadpool,spin,4,32,24,79999977,79999992,80000008,0,0,0
pthreadpool,spin,4,256,24,79999980,79999992,80000011,0,0,0
pthreadpool,spin,4,4096,24,79999934,79999986,80000029,0,0,0
